CTRL,Bauer et al (pg.),Schneider; Ur III,Rosengarten,LAK,REC,OBO,Labat,Borger (MesZL),unicode,OB Signs,Sign var. (?),OGSL,SIGN NAME,ED III Sumerian (Oracc),ED III Sumerian (Oracc)_att,Lagaš II Sumerian (Oracc),Lagaš II Sumerian (Oracc)_att,Ur III,OB Sumerian,Basic Meaning,Other,Akkadian word equivalent,Uruk,Pre-Sargonic,Ebla,Ebla Meaning,OAkk,OB,OA,OA Meaning,Amarna,MA (Oracc),MA (Oracc)_att,MB (Oracc),MB (Oracc)_att,Nuzi,NA,NA (Oracc),NA (Oracc)_att,NB (Oracc),NB (Oracc)_att,LB (Oracc),LB (Oracc)_att
,,,,,,473,597,859,,𒃻,𒐁 ; 𒃻,GAR,NIĜ2,ŋar; nig₂; niŋ₂; ninda; GAR,niŋ₂ (54); GAR (48); ŋar (17); ninda (11); nig₂ (3),ŋar; niŋ₂; ninda; GAR,niŋ₂ (51); ŋar (37); GAR (4); ninda (1),,ĝar; inda3; niĝ2; niĝdan(a)x/nindan(a)x; (ni3); (ša2 k); [ninda],thing; (ĝar): to place; to pile up; (ninda): bread,,,,,,,,, NINDA - aklum,bread,,ša₂; GAR,ša₂ (8); GAR (2),gar; kar₅; nig₂; ša₂; GAR,ša₂ (106); gar (6); GAR (5); nig₂ (3); kar₅ (2),,,gar; nig₂; nik₂; qar₃; ša₂; GAR,ša₂ (8636); GAR (686); gar (161); nig₂ (4); nik₂ (2); qar₃ (1),gar; niq₂; ša₂; GAR,ša₂ (5863); GAR (326); gar (2); niq₂ (2),gar; ša₂; GAR,ša₂ (16353); GAR (16); gar (3)
,,,,,,403,529,804,,𒆸𒆸, 𒆸𒆸,|LAGAB.LAGAB|,NIĜIN,niŋin,niŋin (2),,,,kilib3; niĝen [niĝin],to wander about; to circle; to make the rounds,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,355,433,690,,𒉏, 𒉏,NIM,NIM,elam; nim; num; NIM,nim (6); NIM (4); elam (1); num (1),elam; nim; NIM,nim (4); elam (3); NIM (1),,elam; nim; tehi3/tehe3 k; (tum3 -); [dehi3; dih3]; [tumu4],morning,,,,,,,,, nim; ni7 (rare); num (rare),,,,,nem; ni₇; nim,nim (82); nem (3); ni₇ (1),,,nam₃; nem; ni₇; nim; nu₃; num; tu₈; NIM,nim (154); nu₃ (73); NIM (67); num (23); nem (3); nam₃ (2); tu₈ (1); ni₇ (1),nem; nim; nu₃; num; NIM,nim (89); num (25); NIM (15); nu₃ (12); nem (1),nim; nu₃; num; NIM,num (3); nim (2); nu₃ (2); NIM (1)
,,,,,,374,473,712,,𒐏,𒐏 ,4(U),NIMIN,4(u),4(u) (4),,,,nimin,40,,,,,,,,, NIMIN - ‘40’,,,,,,,,,,,,,,
,,,,,,452,556,887,,𒊩𒌆,𒊩𒂉,|SAL.TUG₂|,NIN (MUNUS.TUG2),ereš; nin,nin (221); ereš (2),nin,nin (405),,e5; eriš/ereš; nin/nen; nin9+/nen9+; egi2-,lady; queen,,,,,,,,,,,,,,nin,nin (13),,,nen; nim₂; nin,nin (105); nen (19); nim₂ (1),min₄; nen; nin,nin (24); min₄ (5); nen (3),eriš; nin,nin (31); eriš (4)
,,,,,,451,556,886,,𒊩𒆪,𒊩𒌆,|SAL.KU|,NIN9,,,,,,nin9/nen9; egi2-; nin-/nen-; (e5- k),sister,,,,,,,,, NIN - bēltum,lady,,,,,,,,,,,,,
,,,,,,131,200,236,,𒀏, 𒀏,|AB×HA|,NINA (AB×HA),|AB×HA|; nanše,nanše (2); |AB×HA| (1),nanše; niŋin₆,nanše (26); niŋin₆ (5),,našše; niĝen6; [nanše]; [niĝin6/niĝinx; nina],,,,,,,,,,,,,,,,,,,nanše,nanše (1),,,,
,,,,,,135,176,316,,𒉒, 𒉒,NINDA₂,NINDA2,ninda₂; NINDA₂,ninda₂ (4); NINDA₂ (2),ninda₂,ninda₂ (1),,inda [ninda2],steer; share of the plow,,,,,,,,,,,,,,,,,,NINDA₂,NINDA₂ (2),NINDA₂,NINDA₂ (1),,
,,,,,,408,528,801,,𒇅, 𒇅,|LAGAB×GAR|,NININDU (LAGAB×NIĜ2?/LAGAR?),,,,,, buniĝ2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,376,475,714,,𒐐, 𒐐,|U&U.U&U.U|,NINNU,5(u),5(u) (3),5(u); ninnu,ninnu (84); 5(u) (1),,ninnu,50,,,,,,,,, NINNU - ‘50’,,,,,,,,,ninnu,ninnu (2),,,5(u),5(u) (2)
