CTRL,Bauer et al (pg.),Schneider; Ur III,Rosengarten,LAK,REC,OBO,Labat,Borger (MesZL),unicode,OB Signs,Sign var. (?),OGSL,SIGN NAME,ED III Sumerian (Oracc),ED III Sumerian (Oracc)_att,Lagaš II Sumerian (Oracc),Lagaš II Sumerian (Oracc)_att,Ur III,OB Sumerian,Basic Meaning,Other,Akkadian word equivalent,Uruk,Pre-Sargonic,Ebla,Ebla Meaning,OAkk,OB,OA,OA Meaning,Amarna,MA (Oracc),MA (Oracc)_att,MB (Oracc),MB (Oracc)_att,Nuzi,NA,NA (Oracc),NA (Oracc)_att,NB (Oracc),NB (Oracc)_att,LB (Oracc),LB (Oracc)_att
,,,,,,4,53.1,,,𒋚,𒋚 ,ŠUBUR,ŠAH,subir; subur; šah; šubur; ŠUBUR,šubur (5); ŠUBUR (5); šah (2); subir (1); subur (1),šubur,šubur (5),,,,,,,,,,,, ŠAH (in I3.ŠAH - nāhum),pig (lard),,,,šah; šeh,šah (1); šeh (1),,,sih; šah; ših; šuh₂; ṣeh,šah (84); ših (18); sih (4); ṣeh (2); šuh₂ (2),sih; šah; ših,šah (19); ših (3); sih (1),šah; ših,ših (89); šah (1)
,,,,,,183,42,76,1233C,𒌼, 𒌼,|URU×GA|,ŠAKIR3 (URU×GA),šakir₃,šakir₃ (2),,,,šakir3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,137,187,333,,𒉚,𒉚 ; 𒉛,|NINDA₂×ŠE|,ŠAM2 (NINDA2×ŠE(.A.AN)),|NINDA₂×ŠE|; sam₂,sam₂ (5); |NINDA₂×ŠE| (1),,,,sa10; sam2 [šam2],,,,,,,,,,,,,,,,,,,šam₂,šam₂ (3),,,šam₂,šam₂ (1)
,,,,,,441,572,832,,𒑛, 𒑛,ŠANABI,ŠANABI,,,,,,šanabi,,,,,,,,,,šanabi,2/3.,,,,ŠANABI,ŠANABI (1),,,,,,,,
,,,,,,385,331.5,541,,𒊬, 𒊬,SAR,SAR,kiri₆; mu₂; nisig; sar; šar; SAR,sar (57); SAR (19); mu₂ (16); kiri₆ (11); nisig (3); šar (1),mu₂; nisig; sakar; sar,mu₂ (20); sar (6); sakar (3); nisig (1),,kiri6; mu2; nisi; sahar2; sar; šakar; [nisig]; [sakar],v.; to write; to chase away; to run; n.; garden; orchard; (mu2): to sprout; to grow; (nisi): vegetable,,,,,,,,, šar,,,šar,šar (1),sar; šar; šir₉; SAR,šar (139); SAR (6); šir₉ (6); sar (2),,,mu₂; nisig; sar; šar; šir₉; SAR,šar (535); SAR (440); sar (64); mu₂ (1); nisig (1); šir₉ (1),sar; šar; SAR,šar (178); SAR (42); sar (3),šar; SAR,šar (86); SAR (13)
,,,,,,409,500,776,,𒇋, 𒇋,|LAGAB×IGI@g|,ŠARA2 (LAGAB×IGI-g.),šara₂,šara₂ (1),šara₂,šara₂ (1),,šara2; cf. 217. BARA2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,378,367,579,,𒊺, 𒊺,ŠE,ŠE,niga; še; ŠE,še (36); ŠE (8); niga (2),niga; še,niga (8); še (4),,niga k; še; u20,barley; grain in general,,,,,,,,, še; ŠE - uṭṭutum,grain ~0.05g.,,še; ŠE,še (24); ŠE (1),še; ŠE,še (359); ŠE (26),,,še; ŠE,še (1452); ŠE (362),še; ŠE,še (269); ŠE (95),še; ŠE,še (95); ŠE (68)
,,,,,,383,367.107,579,,𒊺𒉀, 𒊺𒉀,|ŠE.NAGA|,ŠE.NAĜA (NIDABA),|ŠE.NAGA|; nisaba,nisaba (17); |ŠE.NAGA| (2),nisaba,nisaba (1),,nidaba/nis(s)aba; cf. 377. NAĜA,,,,,,,,,,,,,,,nisaba,nisaba (5),,,,,,,,
,,,,,,420,536,810,,𒂠, 𒌆,EŠ₂,ŠE3,eš₂; huŋ; še₃; ub₂; EŠ₂,EŠ₂ (25); eš₂ (16); še₃ (14); ub₂ (5); huŋ (1),eš₂; še₃; ub₂,še₃ (174); ub₂ (4); eš₂ (3),,egi; eš2; eše2; ge7/gi7; huĝ; še3; ub2; zi3; tu9+; (gar15/gir15); (sumunx k); [egir2]; [hun]; [zid2],( eš2): rope; (huĝ): to hire (zid2): flour,,,,,,,,,,,,,,šu₃,šu₃ (1),,,gi₇; ub₂; up₂; EŠ₂,ub₂ (1); up₂ (1); gi₇ (1); EŠ₂ (1),EŠ₂,EŠ₂ (1),hun,hun (254)
,,,,,,46,103.1,154,,𒈻,𒈻 ,|MUŠ₃.DI|,SED (MUŠ3×A.DI),,,,,,se9; sed; [še4]; [šed7],cool; to cool,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,429,551,878,,𒊾,𒊾,ŠEG₉,ŠEG9,šeg₉; ŠEG₉,šeg₉ (9); ŠEG₉ (1),,,,kiši6; šeg9?/šig9?,(šeg9-bar): deer,,,,,,,,,,,,,,,,,,,,,,,
,,894,,713,110; 429,306,8,17,122BF,𒊿,𒊿,ŠEN,ŠEN,šen; ŠEN,šen (8); ŠEN (2),dur₁₀; šen,šen (3); dur₁₀ (2),,dur10; šen,clean; pure,, ellu; ebbu; qablu,,,,,,,,,,,,ŠEN,ŠEN (1),,,rug; ruk; ruq; šen; šin; šun; ŠEN,šin (52); ruq (14); ruk (13); šen (9); ŠEN (7); šun (4); rug (4),ruk; šin,ruk (2); šin (1),rug; šen; šin,šin (3); rug (3); šen (1)
,,,,,,21.2,331,535,,𒋀, 𒋀,ŠEŠ,ŠEŠ,sis; šeš; ŠEŠ,šeš (10); ŠEŠ (5); sis (4),šeš,šeš (2),,mun4; muš5; ses; sis; (sešk); [šeš],brother,brother; bitter,ahu; marru,,,,,,, ŠEŠ - ahum,brother,,,,ahi; ŠEŠ,ŠEŠ (168); ahi (3),,,sis; siš; šas; šaš; šaṣ; šes; šeš; šiš; šiz; ŠEŠ,ŠEŠ (340); šiš (25); sis (20); šeš (12); šes (10); šas (5); šiz (2); siš (1); šaṣ (1); šaš (1),sis; šeš; ŠEŠ,ŠEŠ (161); sis (10); šeš (1),ah₂; sis; šiš; ŠEŠ,ŠEŠ (828); sis (3); šiš (2); ah₂ (2)
,,,,,,22,331.441,535.1,,𒋀𒆠, 𒋀𒆠,|ŠEŠ.KI|,ŠEŠ.KI,nanna,nanna (5),nanna,nanna (3),,nanna,,Suen,,,,,,,,,,,,,,,,,nan₂,nan₂ (1),,,,
,,,,,,,,100,122C2,,,ŠEŠLAM,ŠEŠLAM,,,,,,,,,,,,,,,,,,,,,,,,šešlam,,,,,,
,,,,,,164,112,181,,𒋛, 𒋛,SI,SI,si; SI,si (88); SI (18),si; sig₉; SI,si (31); sig₉ (6); SI (1),,se; si (sig9),horn; (si-g.): to fill; to survey a field,,,,,,,,, ši2; še2,,,si; SI,si (51); SI (1),se; si; ši₂,si (145); se (5); ši₂ (4),,,se; si; ši₂; SI,si (1816); se (604); SI (249); ši₂ (2),se; si; še₂; SI,si (273); se (21); SI (8); še₂ (1),se; si; SI,se (360); si (199); SI (5)
,,,,,,341,413,666,,𒌋𒂙,,|U.EN×GAN₂@t|,ŠIBIR (U.EN×GANA2(-t.)),,,,,,ešgiri; sibir; (burux k); [eškiri]; [šibir],(burux): harvest,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,212,314,485,,𒋃,𒋃,ŠID,ŠID,kas₇; kiri₈; pisaŋ₂; saŋŋa; sanga; šid; umbisaŋ; ŠID,ŠID (46); saŋŋa (37); umbisaŋ (30); sanga (14); kiri₈ (3); šid (2); pisaŋ₂ (2); kas₇ (1),,,,giri13 k; ka9; lag; pisaĝ2 k; saĝ5; saga; sila11; šed/šid; šudum; [bisaĝ2; pisan2]; [kas7]; [sanga]; [silaĝ]; [zaĝ3],to count; to recite,,,,,,,,,,,,lak,lak (5),,,,,lag; lak; laq; liq₂; sit₂; šet; šid; šit; šiṭ; ŠID,lak (515); laq (251); šit (111); ŠID (79); šid (71); šet (7); sit₂ (7); lag (6); šiṭ (3); liq₂ (1),lak; laq; sit₂; šet; šid; šit; šiṭ; ŠID,lak (119); ŠID (23); šit (17); šid (12); šet (12); šiṭ (7); laq (6); sit₂ (2),lak; šid; ŠID,lak (13); šid (1); ŠID (1)
,,,,,,437,592,881,,𒋝, 𒋝,SIG,SIG,sig; SIG,sig (6); SIG (1),sig,sig (5),,epig; sig; (se11? k); (si11 k),low country,,,,,,,,,,,,,,sik; SIG,SIG (21); sik (4),,,bek; pik; piq; sik; siq; šig; šik; šiq; zik₂; ziq₂; SIG,sik (75); šik (56); SIG (36); šiq (15); siq (15); pik (8); zik₂ (6); piq (2); bek (2); šig (1); ziq₂ (1),pik; piq; sek; sig; sik; siq; šik; šiq; SIG,sik (5); šiq (4); SIG (4); sek (3); šik (3); pik (2); siq (2); sig (2); piq (1),sik; SIG,SIG (74); sik (5)
,,,,,,243,567,905,,𒋞, 𒋞,SIG₄,SIG4 (MURGU2-š.),SIG₄,SIG₄ (6),šeg₁₂,šeg₁₂ (18),,ĝur23 k; ĝurgu k; kulla/gullax; šeg12; (sig4 k); [mur7]; [murgu],brick; brickwork; walls; (mur7): shoulder,,,,,,,,,,,,,,SIG₄,SIG₄ (5),,,SIG₄,SIG₄ (233),SIG₄,SIG₄ (41),SIG₄,SIG₄ (47)
,,,,,,238,454,729,,𒅆𒂟,𒅆𒂟,|IGI.ERIN₂|,SIG5 (IGI.ERIM),,,,,,gurum2; sag10; saga10; [kuru(m)7]; [sig5],of fine quality,,,,,,,,, SIG5 - damqum,be good,,,,,,,,,,,,,
,,,,,,198,351,564,,𒅊, 𒅊,IGI@g,SIG7 (IGI-g.),sig₇; ugur₂; IGI@g,IGI@g (61); ugur₂ (5); sig₇ (5),,,,imma3; si12; ugur2; (sig7 k),adj.; green; yellow; v.; to make (beautiful),,,,,,,,,,,,,,,,,,imma₃,imma₃ (1),,,,
,,,,,,395,539,816,,𒁯, 𒋠,SIK₂,SIK2,siki; SIK₂,siki (74); SIK₂ (1),siki,siki (4),,siki [sig2/sik2],wool,,,,,,,,, SIG2 - šipātu,wool,,,,,,,,sik₂; šiq₂,šiq₂ (2); sik₂ (2),,,,
,,,,,,269,62,99,122E1,𒋡,𒋡 ,SILA₃,SILA3,sal₄; sila₃; SILA₃,sila₃ (54); SILA₃ (4); sal₄ (2),sila₃,sila₃ (6),,aq k; sal4; sila3; šal2,a measure; measuring pot,,qūm,,,,,,,šal2; SILA3 - qūm,~ 1 liter,,qa; SILA₃,SILA₃ (37); qa (11),ga₅; ka₄; qa; SILA₃,qa (627); ka₄ (57); ga₅ (2); SILA₃ (1),,,ga₅; qa; SILA₃,qa (2058); SILA₃ (14); ga₅ (1),qa; SILA₃,qa (392); SILA₃ (24),qa; šal₂; SILA₃,qa (4579); SILA₃ (23); šal₂ (1)
,,,,,,97,252,408,,𒃢, 𒃢,|GA₂×PA|,SILA4 (ĜA2×PA),|GA₂×PA|; sila₄,sila₄ (31); |GA₂×PA| (2),sila₄,sila₄ (5),,gazi; sila4,lamb,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,49,87.1,147,12266 12267,𒉦, 𒉣𒇬,|NUN.LAGAR×SAL|,ŠILAM (TUR3×MUNUS),šilam,šilam (1),,,,immal2; šilam (arhuš2); (tur3+k),,,,,,,,,,,,,,,,,,akar,,,,,,
,,,,,,83,215,362,,𒋆, 𒋆,ŠIM,ŠIM,lunga; šem; šim; ŠIM,šim (31); lunga (4); šem (3); ŠIM (2),šim,šim (2),,babir2; mud5; ningi? k; šem; šembi- (šim k); [bappir2]; [šembi2; šimbi2],aromatic substance; resin,,,,,,,,,,,,šem; ŠIM,ŠIM (29); šem (1),šim; ŠIM,šim (2); ŠIM (1),,,rig; rik; riq; sem; siraš; šem; šim; ŠIM,rig (326); šim (124); rik (54); riq (45); šem (25); ŠIM (6); siraš (1); sem (1),rig; rik; riq; šem; šim,šem (70); šim (18); rik (12); riq (2); rig (1),rik; šem; šim; ŠIM,ŠIM (15); rik (13); šim (7); šem (1)
,,,,,,84,216,363,,𒋎, 𒋎,|ŠIM×KUŠU₂|,ŠIM×KUŠU2,,,,,,bulugx / šembulugx; šembi? k (in Lgbd II 94),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,85,225,373,,𒋋, 𒋋,|ŠIM×GAR|,ŠIM×NIĜ2,|ŠIM×GAR|; lunga₃,|ŠIM×GAR| (3); lunga₃ (2),,,,babir; ningi3? k; [bappir],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,302,93,162,,𒋒,𒃰𒉀,ŠINIG,ŠINIG,šinig; ŠINIG,ŠINIG (2); šinig (1),,,,šeneg [šinig],tamarisk,,,,,,,,,,,,,,,,,,ŠINIG,ŠINIG (12),ŠINIG,ŠINIG (2),,
,,,,,,28,71,115,122D3,𒉢, 𒋓,ŠIR,ŠIR (NU11),šir; ŠIR,šir (5); ŠIR (1),,,,ĝešnu k; nu11; šeri? k; [šir],,"""testicle; bulb"" (epsd)",išku,,,,,,, šur3,,,,,šer; šir,šir (11); šer (1),,,šer; šir; ŠIR,šir (56); šer (6); ŠIR (1),šer; šir,šir (7); šer (1),šir,šir (2)
,,,,,,152.2,152,271.1,,𒂡, 𒆟,EZEN,ŠIR3,ezen; šir₃; EZEN,EZEN (11); ezen (9); šir₃ (3),ezen,ezen (3),,sar3 [sir3/šir3],song,,,,,,,,,,,,šer₃,šer₃ (1),šer₃,šer₃ (3),,,sir₃; šer₃; šir₃; EZEN,šir₃ (70); šer₃ (36); EZEN (4); sir₃ (1),šir₃; EZEN,šir₃ (11); EZEN (2),šer₃; šir₃,šir₃ (53); šer₃ (4)
,,,,,,,,116,122D4,,,,ŠIRtenu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,368,438,696,,𒀬, 𒀬,|AMAR×ŠE|,SISKUR (AMAR×ŠE),,,sizkur,sizkur (1),,siškur [siskur/sizkur],religious ceremony,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,270,233.22,388,,𒋖,𒋖,ŠITA,ŠITA,šita; ŠITA,šita (8); ŠITA (4),šita,šita (2),,šita,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,460,233.4,434,,𒋖𒄑,𒋖𒉺,ŠITA₂,ŠITA2,,,šita₂,šita₂ (1),,šita2?; udug2 [utug2],,,,,,,,,,,,,,,,,,,ŠITA₂,ŠITA₂ (2),,,,
,,,,,,38,83,139,122E5,𒋥, 𒋥,SUD₂,ŠITA3,sud₂; šita₃; SUD₂,SUD₂ (5); sud₂ (3); šita₃ (2),,,,sud2; šitan/šiten2 K; [šita3],,water-channel; pipe,râṭu,,,,,,,,,,rad; rat,rad (2); rat (1),rat; raṭ,rat (6); raṭ (4),,rad; rat; raṭ; rud; ruṭ; šita2,rad; rat; raṭ; SUD₂,rat (375); rad (79); SUD₂ (11); raṭ (3),rad; rat,rat (59); rad (11),rad; rat; raṭ,rat (72); rad (17); raṭ (1)
,,,,,,346,442,699,,𒌋𒆤,𒌋𒆤,|U.KID|,ŠITA4 (U.KID),,,,,,šita4; šu4šutul6? k,,,,,,,,,,,,,,,,,,,,,,,,
,,409,,,,305,7,16,122E2,𒋢, 𒋢,SU,SU,kuš; su; sug₆; SU,su (98); SU (15); kuš (4); sug₆ (1),kuš; su,su (197); kuš (2),,kuš; su,body; flesh; (su-g.): to return (a loan; etc.); (kuš): skin; hide,, zumru; mašku,,,,,,, su; (relatively rare; su2 preferred),,,su,su (31),su; SU,su (200); SU (2),,,guš; kuš; kuz; su; sum₃; šu₁₁; SU,su (2560); SU (93); guš (8); kuš (5); kuz (1); šu₁₁ (1); sum₃ (1),kuš; su; SU,su (499); SU (11); kuš (1),kuš; su; SU,su (1038); SU (78); kuš (1)
,,,,,,225,354,567,,𒋗, 𒋗,ŠU,ŠU,šu; ŠU,šu (162); ŠU (3),šu,šu (41),,šu,hand,,,,,,,,, šu,,,qat; šu; ŠU,šu (106); ŠU (5); qat (2),šu; ŠU,šu (2568); ŠU (83),,,qad; qat; šu; ŠU,šu (5093); ŠU (457); qat (50); qad (8),qad; qat; šu; ŠU,šu (970); ŠU (75); qat (16); qad (3),qat; šu; ŠU,šu (1262); ŠU (734); qat (1)
,,,,,,,354.1,567,,𒋗𒆸𒆸, 𒋗,,ŠU.NIGIN,,,,,,,total; totality,,napharum,,,,,,,ŠUNIGIN - napharum; ištēniš,total; in all:,,,,,,,,,,,,,
,,,,,,422,545,869,,𒋙,𒋙,ŠU₂,ŠU2,šu₂; ŠU₂,ŠU₂ (10); šu₂ (3),,,,šu2; šuš2,,,,,,,,,,,,,šu₂,šu₂ (2),šu₂; ŠU₂,šu₂ (24); ŠU₂ (2),,,šu₂; ŠU₂,šu₂ (10324); ŠU₂ (215),šu₂; ŠU₂,šu₂ (3129); ŠU₂ (40),šu₂; ŠU₂,šu₂ (3692); ŠU₂ (18)
,,,,,,165,113,182,,𒋜, 𒋜,SI@g,SU4 (SI-g.),si₄; su₄; SI@g,su₄ (16); si₄ (11); SI@g (4),,,,si4; su4,,,,,,,,,,,,,,,,,,,,,,,,
,,429,,,203bis,316,18.1,32,1217E,𒅾, 𒅾,|KA×SA|,SU6 (KA×SA),,,,,,sum4 (su6 k; sun4),beard,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,307,460,722,,𒇭,𒇭,|LAGAR×ŠE|,SU7,su₇,su₇ (2),,,,su7 [sur12],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,53.2,22,122DA,𒋚, 𒋚,ŠUBUR,ŠUBUR,subir; subur; šah; šubur; ŠUBUR,šubur (5); ŠUBUR (5); šah (2); subir (1); subur (1),šubur,šubur (5),,saha/šaha; subur; [subir; šubur]; [šah],,pig,,,,,,,,ŠUBUR (in NIN.ŠUBUR - Ilabrat - in PNs),,,,,šah; šeh,šah (1); šeh (1),,,sih; šah; ših; šuh₂; ṣeh,šah (84); ših (18); sih (4); ṣeh (2); šuh₂ (2),sih; šah; ših,šah (19); ših (3); sih (1),šah; ših,ših (89); šah (1)
,,,,,,266,373,584,,𒋤, 𒋤,SUD,SUD (BU-g.),su₃; sud; SUD,su₃ (7); SUD (3); sud (1),sud; SUD,sud (9); SUD (1),,su3; sud; (sug4); (bu+ k); (gid2+ k); (sir2+ k),to stretch; to waive (the tail); (su3-d.): long (duration); to make last; (su3-g.): empty; to empty,,,,,,,,,,,,,,su₃,su₃ (1),,,ser; sir; su₃; šud; SUD,sir (24); SUD (14); su₃ (3); šud (3); ser (2),ser; šud; šut; SUD,SUD (2); ser (2); šut (1); šud (1),,
,,,,,,,,49,12183,,,|KA×ŠU|,ŠÙDU (KAxŠU),|KA×ŠU|; šu₁₂; šud₃,šud₃ (6); |KA×ŠU| (3); šu₁₂ (1),,,,,,,,,,,,,,,,,,,,,,šudu3,,,šud₃,šud₃ (1),,
,,,,,,414,522,795,,𒆹, 𒆹,|LAGAB×A|,SUG (LAGAB×A),|LAGAB×A|; ambar; ašte₂,ambar (13); |LAGAB×A| (6); ašte₂ (3),,,,abbar; as4; buniĝ/puniĝ/bunin/punin k; gunin2 k; sug; [ambar]; [bugin],swamp (with reeds),,,,,,,,,,,,,,,,,,as₄; suk; suq; šuk₃; zuk; zuq,suk (78); suq (2); as₄ (2); zuq (1); šuk₃ (1); zuk (1),suk; zuk; zuq,suk (6); zuk (2); zuq (1),zuk,zuk (6)
,,,,,,251,569,892,,𒄗, 𒄗,|GU%GU|,SUH3 (GI4×GI4),,,,,,sah4; suh3,confused,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,384,403,646,,𒋦, 𒋦,SUHUR,SUHUR,suhur; SUHUR,suhur (27); SUHUR (5),suhur; SUHUR,SUHUR (2); suhur (2),,suhur (sumur2 k),barb,,,,,,,,,,,,,,,,,,SUHUR,SUHUR (567),,,,
,,,,,,65,201,351,,𒁼, 𒁼,DU@g,SUHUŠ (DU-g.),suhuš; DU@g,suhuš (3); DU@g (3),suhuš,suhuš (3),,suhuš (gir6); (im5); (kašx k),base; foundation,,,,,,,,,,,,,,,,,,kas₅,kas₅ (1),,,,
,,,,,,133,190.11,338,,𒃴, 𒃴,GALAM,SUKUD,sukud; ubi,sukud (2); ubi (1),,,,sukud  (Cf. 210. GALAM),tall,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,438,467,774,,𒂄, 𒂄,DUN,ŠUL (DUN),dun; sul; šah₂; šul; DUN,šul (22); šah₂ (14); DUN (14); dun (7); sul (5),du₂₄; šul,šul (10); du₂₄ (3),,du24 k; dun; dur9; su17; sul; [šul],young man; (dun): ward; pupil,,,,,,,,,,,,,,šul,šul (81),,,dun; sah₃; sul; šah₂; šul; DUN,šul (479); dun (11); sul (11); šah₂ (3); DUN (1); sah₃ (1),sul; šah₂; šul,šul (116); sul (2); šah₂ (1),du₂₄; dun; šul,šul (60); dun (46); du₂₄ (1)
,,,,,,388,164,292,,𒋧, 𒋧 ,SUM,SUM,sum; šum₂; zar₃; SUM,sum (60); šum₂ (27); SUM (7); zar₃ (3),si₃; sig₁₀; šum₂,šum₂ (12); sig₁₀ (3); si₃ (1),,si3; šum2; (sig10); [se3]; [sum],n. onion; v.; to give; (si3): to apply; to put,,,,,,,,,,,,šum₂,šum₂ (13),šum₂; SUM,šum₂ (2); SUM (1),,,se₃; si₃; sim₂; sum; šum₂; SUM,SUM (504); šum₂ (313); si₃ (7); se₃ (3); sum (1); sim₂ (1),sim₂; SUM,SUM (15); sim₂ (1),SUM,SUM (61)
,,,,,,56,101,151,,𒋩, 𒋩 ,SUR,SUR,sur; SUR,sur (29); SUR (3),sur,sur (5),,sur,to press; to brew,,,,,,,,, šur (only in A-šur),,,šur,šur (1),šur,šur (12),,,sur; šur; SUR,šur (1212); sur (49); SUR (24),sur; šur; SUR,šur (474); SUR (5); sur (4),sur; šur; ṭir₃; SUR,ṭir₃ (237); SUR (154); sur (2); šur (2)
,,,,,,278,405,634,,𒄮, 𒄮,|HI×AŠ|,SUR3 (HI×AŠ),|HI×AŠ|,|HI×AŠ| (1),,,,sur3,,,,,,,,,,,,,,,|HI×AŠ|,|HI×AŠ| (1),,,,,,,,
,,,,,,55,122.4,205,,𒈣𒆜𒅊, 𒈣𒆜𒅊,SUR₉,SUR9 (MA.KASKAL.SIG7),,,,,,sur9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,407,493,766,,𒇆, 𒇆,|LAGAB×(GUD&GUD)|,ŠURUM (LAGAB×GUD),u₈,u₈ (28),u₈,u₈ (1),,šurum; cf. 399. U8; [šurim],,,,,,,,,,,,,,,,,,,u₈,u₈ (13),u₈,u₈ (3),,
,,,,,,439,571,826,,𒑚, 𒑚,ŠUŠANA,ŠUŠANA,1/3(diš),1/3(diš) (3),,,,šušana,,,,,,,,,,šušana ,1/3.,,,,,,,,,,,,,
,,,,,,123,139,248,,𒋫, 𒋫,TA,TA,ta,ta (22),ta,ta (112),,ta,,,,,,,,,, ta; ṭa2; da2,,,ta; TA,ta (237); TA (2),da₂; ta; ṭa₂; TA,ta (1366); ṭa₂ (199); da₂ (32); TA (5),,,ta; ṭa₂; TA,ta (6109); TA (455); ṭa₂ (6),ta; TA,ta (1408); TA (112),ta; ṭa₂; TA,ta (812); TA (130); ṭa₂ (4)
,,,,,,109,124,209,,𒋰,𒋰,TAB,TAB,min₆; tab; TAB,tab (21); TAB (2); min₆ (1),,,,tab (dab2 k),to double,,,,,,,,,tab; tap ,,,tab; tap,tab (42); tap (1),dab₂; dap₂; tab; tap; ṭab; TAB,tap (84); tab (23); dab₂ (13); ṭab (1); dap₂ (1); TAB (1),,,dab₂; dap₂; tab; tap; ṭab; ṭap; TAB,tap (195); tab (193); dab₂ (18); dap₂ (13); TAB (8); ṭab (6); ṭap (3),dab₂; tab; tap; ṭab; TAB,tap (336); tab (50); TAB (4); dab₂ (3); ṭab (1),tab; tap,tab (277); tap (3)
,,,,,,121,126,221,,𒋳,𒋳,TAG,TAG,šerim; šum; tag; TAG,šum (39); TAG (10); tag (5); šerim (1),tag,tag (8),,da6; sub6; šum; ta3; tuku5; zil2; tibir2-; [tag],to touch; to beat; to weave,,,,,,,,, šum,,,,,šu₁₄; šum; tak; taq,šum (313); tak (4); šu₁₄ (1); taq (1),,,šu₁₄; šum; tag; tak; taq; TAG,šum (580); tak (239); taq (115); TAG (15); tag (4); šu₁₄ (1),šum; tak; taq; TAG,TAG (259); tak (66); šum (32); taq (26),tak; taq,taq (129); tak (32)
,,,,,,122,126.3,221.1,,𒋷,,|TAG×ŠU|,TAG×ŠU,,,,,,tibir2,,,,,,,,,,,,,,,,,,,,,,,,
,,340,,,488,231,12,9,122FB,𒋻, 𒋻,TAR,TAR (KUD),ku₅; kud; sila; tar; TAR,TAR (44); tar (25); kud (12); sila (1); ku₅ (1),kud; tar,tar (30); kud (11),,haš; ku5; kud; sila; tar,to cut; (sila): street,,,,,,,,,,,,tar,tar (10),dar₆; haš; qut; tar; ṭar; TAR,qut (101); tar (40); ṭar (10); TAR (6); dar₆ (1); haš (1),,tar; ṭar; tír; tir2; ṭír; ṭir2; šar7; kud; kut; qud; qut; ḫas; haṣ; haš; haz; šil; sil,has; haš; haṣ; haz; hiz; kud; kut; qud; qut; sil; šel; šil; tar; tara; ṭar; ṭir₂; TAR,tar (509); ṭar (117); šil (89); haš (60); qut (47); kut (33); has (19); tara (17); TAR (15); šel (11); qud (11); haṣ (10); haz (9); kud (9); sil (8); ṭir₂ (6); hiz (1),has; haṣ; kut; qud; qut; sel; šel; šil; tar; ṭar; ṭir₂; TAR,tar (179); ṭar (19); kut (13); šil (12); haṣ (12); qut (11); qud (11); šel (9); TAR (4); has (2); ṭir₂ (1); sel (1),haš; haṣ; kut; qud; šil; tar; ṭar; TAR,šil (270); tar (97); ṭar (26); qud (13); haš (7); kut (3); haṣ (2); TAR (2)
,,,,,,289,376,589,,𒋼, 𒋼,TE,TE,gal₅; te; temen; TE,te (11); gal₅ (9); TE (3); temen (2),te; temen,temen (7); te (1),,te; teĝ3; temen; ten; maru-? k; (karx k),to approach,,,,,,,,, te (very rare; te2 preferred),,,te,te (128),de₄; te; ti₇; ṭe₄; ṭi₄; TE,te (539); ti₇ (86); de₄ (38); ṭe₄ (27); ṭi₄ (2); TE (2),,,te; ten; ti₇; ṭe₄; TE,te (3359); TE (112); ten (44); ṭe₄ (16); ti₇ (1),te; TE,te (540); TE (9),te,te (71)
,,,,,,23,73,118,122FE,𒋾, 𒋾,TI,TI,teŋ₄; ti; TI,ti (88); TI (7); teŋ₄ (3),di₃; ti; til₃; TI,til₃ (102); ti (5); di₃ (1); TI (1),,di3; ti; tiĝ4; til3/tel,life,take; rib,leqû; ṣēlu,,,,,,, ti (uncommon; ti2 preferred); ṭi3; di3; te9; ṭe6,,,ti; TI,ti (31); TI (3),de₉; di₃; te₉; ti; ṭe₆; ṭi₃; TI,ti (2168); te₉ (59); ṭi₃ (58); di₃ (43); de₉ (12); TI (6); ṭe₆ (1),,,te₉; ti; til₃; ṭi₃; TI,ti (6260); TI (267); te₉ (2); ṭi₃ (1); til₃ (1),ti; TI,ti (3358); TI (22),ti; ṭi₃; TI,ti (839); TI (21); ṭi₃ (1)
,,,,,,380,375,587,,𒌁,𒌁 ,|ŠE.NUN&NUN|,TIR (ŠE.NIR),|ŠE.NUN&NUN|; tir,tir (20); |ŠE.NUN&NUN| (3),,,,ezinam3; ter; [ezina3/ezinu3]; [tir],forest,,,,,,,,,,,,,,tir,tir (2),,,ter; tir,tir (69); ter (64),ter; tir,tir (59); ter (17),tir; ṭir₅,tir (253); ṭir₅ (1)
